name,Machine,NumberOfSections,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,Win32VersionValue,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes
E:/sampel/case5_0zapftis/dmp/pid.1020.0x1000000.dmp,332.0,3.0,0.0,0.0,224.0,271.0,267.0,7.0,10.0,11264.0,2048.0,0.0,9481.0,4096.0,16777216.0,4096.0,512.0,5.0,1.0,5.0,1.0,4.0,0.0,0.0,24576.0,1024.0,40157.0,2.0,33792.0,262144.0,16384.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case5_0zapftis/dmp/pid.1020.0x1000000.dmp,332.0,3.0,0.0,0.0,224.0,271.0,267.0,7.0,10.0,11264.0,2048.0,0.0,9481.0,4096.0,16777216.0,4096.0,512.0,5.0,1.0,5.0,1.0,4.0,0.0,0.0,24576.0,1024.0,40157.0,2.0,33792.0,262144.0,16384.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case5_0zapftis/dmp/pid.1148.0x1000000.dmp,332.0,3.0,0.0,0.0,224.0,271.0,267.0,7.0,10.0,11264.0,2048.0,0.0,9481.0,4096.0,16777216.0,4096.0,512.0,5.0,1.0,5.0,1.0,4.0,0.0,0.0,24576.0,1024.0,40157.0,2.0,33792.0,262144.0,16384.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case5_0zapftis/dmp/pid.1260.0x1000000.dmp,332.0,3.0,0.0,0.0,224.0,287.0,267.0,7.0,10.0,48128.0,8704.0,0.0,25466.0,4096.0,16777216.0,4096.0,512.0,5.0,1.0,5.0,1.0,4.0,0.0,0.0,65536.0,1024.0,115721.0,2.0,32768.0,262144.0,32768.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case5_0zapftis/dmp/pid.1444.0x400000.dmp,332.0,4.0,0.0,0.0,224.0,259.0,267.0,8.0,0.0,315392.0,217088.0,0.0,102146.0,4096.0,4194304.0,4096.0,4096.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,897024.0,4096.0,603036.0,3.0,0.0,1048576.0,4096.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case5_0zapftis/dmp/pid.1616.0x1000000.dmp,332.0,3.0,0.0,0.0,224.0,271.0,267.0,7.0,10.0,35328.0,8704.0,0.0,23494.0,4096.0,16777216.0,4096.0,512.0,5.0,1.0,5.0,1.0,4.0,0.0,0.0,53248.0,1024.0,82117.0,2.0,32768.0,262144.0,4096.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case5_0zapftis/dmp/pid.184.0x400000.dmp,332.0,4.0,0.0,0.0,224.0,259.0,267.0,8.0,0.0,184320.0,221184.0,0.0,18166.0,4096.0,4194304.0,4096.0,4096.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,417792.0,4096.0,439615.0,2.0,0.0,1048576.0,4096.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case5_0zapftis/dmp/pid.192.0x400000.dmp,332.0,4.0,0.0,0.0,224.0,259.0,267.0,8.0,0.0,540672.0,282624.0,0.0,225344.0,4096.0,4194304.0,4096.0,4096.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1273856.0,4096.0,868211.0,2.0,0.0,1048576.0,4096.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case5_0zapftis/dmp/pid.1920.0x1000000.dmp,332.0,3.0,0.0,0.0,224.0,271.0,267.0,7.0,10.0,10240.0,2560.0,0.0,10226.0,4096.0,16777216.0,4096.0,512.0,5.0,1.0,5.0,1.0,4.0,0.0,0.0,24576.0,1024.0,29788.0,2.0,32768.0,262144.0,4096.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case5_0zapftis/dmp/pid.1956.0x1000000.dmp,332.0,4.0,0.0,0.0,224.0,270.0,267.0,7.0,10.0,280576.0,752128.0,0.0,123470.0,4096.0,16777216.0,4096.0,512.0,5.0,1.0,5.0,1.0,4.0,10.0,0.0,1044480.0,1024.0,1083401.0,2.0,32768.0,262144.0,57344.0,1048576.0,4096.0,0.0,16.0
