"name,Machine,NumberOfSections,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,Win32VersionValue,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes"
"E:/sampel/case1_pcteteh/dmp/pid.1836.0x7ff621510000.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,27648.0,23040.0,0.0,20544.0,4096.0,140695097638912.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,106746.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0"
"E:/sampel/case1_pcteteh/dmp/pid.1864.0x7ff71dd80000-1.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,27.0,226304.0,181760.0,0.0,79408.0,4096.0,140699334344704.0,4096.0,512.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,421888.0,1024.0,415584.0,2.0,49504.0,1048576.0,4096.0,1048576.0,4096.0,0.0,16.0"
"E:/sampel/case1_pcteteh/dmp/pid.1864.0x7ff71dd80000.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,27.0,226304.0,181760.0,0.0,79408.0,4096.0,140699334344704.0,4096.0,512.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,421888.0,1024.0,415584.0,2.0,49504.0,1048576.0,4096.0,1048576.0,4096.0,0.0,16.0"
"E:/sampel/case1_pcteteh/dmp/pid.1884.0x7ff621510000-1.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,27648.0,23040.0,0.0,20544.0,4096.0,140695097638912.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,106746.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0"
"E:/sampel/case1_pcteteh/dmp/pid.1884.0x7ff621510000.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,27648.0,23040.0,0.0,20544.0,4096.0,140695097638912.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,106746.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0"
"E:/sampel/case1_pcteteh/dmp/pid.1920.0x7ff621510000-1.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,27648.0,23040.0,0.0,20544.0,4096.0,140695097638912.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,106746.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0"
"E:/sampel/case1_pcteteh/dmp/pid.1920.0x7ff621510000.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,27648.0,23040.0,0.0,20544.0,4096.0,140695097638912.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,106746.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0"
"E:/sampel/case1_pcteteh/dmp/pid.1932.0x7ff621510000-1.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,27648.0,23040.0,0.0,20544.0,4096.0,140695097638912.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,106746.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0"
"E:/sampel/case1_pcteteh/dmp/pid.1932.0x7ff621510000.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,27648.0,23040.0,0.0,20544.0,4096.0,140695097638912.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,106746.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0"
"E:/sampel/case1_pcteteh/dmp/pid.1952.0x7ff621510000-1.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,27648.0,23040.0,0.0,20544.0,4096.0,140695097638912.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,106746.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0"
"E:/sampel/case1_pcteteh/dmp/pid.1952.0x7ff621510000.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,27648.0,23040.0,0.0,20544.0,4096.0,140695097638912.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,106746.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0"
"E:/sampel/case1_pcteteh/dmp/pid.1996.0x7ff621510000-1.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,27648.0,23040.0,0.0,20544.0,4096.0,140695097638912.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,106746.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0"
"E:/sampel/case1_pcteteh/dmp/pid.1996.0x7ff621510000.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,27648.0,23040.0,0.0,20544.0,4096.0,140695097638912.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,106746.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0"
"E:/sampel/case1_pcteteh/dmp/pid.2004.0x7ff7bf8b0000-1.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,100864.0,81920.0,0.0,90112.0,4096.0,140702047207424.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,200704.0,1024.0,240436.0,2.0,49504.0,524288.0,65536.0,1048576.0,4096.0,0.0,16.0"
"E:/sampel/case1_pcteteh/dmp/pid.2004.0x7ff7bf8b0000.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,100864.0,81920.0,0.0,90112.0,4096.0,140702047207424.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,200704.0,1024.0,240436.0,2.0,49504.0,524288.0,65536.0,1048576.0,4096.0,0.0,16.0"
"E:/sampel/case1_pcteteh/dmp/pid.2024.0x7ff621510000-1.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,27648.0,23040.0,0.0,20544.0,4096.0,140695097638912.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,106746.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0"
