name,Machine,NumberOfSections,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,Win32VersionValue,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes
E:/sampel/shylock/pid.2000.0x1000000.dmp,332,3,0,0,224,271,267,7,10,11264,2560,0,9481,4096,16777216,4096,512,5,1,5,1,4,0,0,24576,1024,21408,2,33792,262144,16384,1048576,4096,0,16
E:/sampel/shylock/pid.2028.0x1000000.dmp,332,3,0,0,224,271,267,7,10,10240,2560,0,10226,4096,16777216,4096,512,5,1,5,1,4,0,0,24576,1024,33942,2,32768,262144,4096,1048576,4096,0,16
E:/sampel/shylock/pid.2272.0x1000000.dmp,332,3,0,0,224,271,267,7,10,35328,8704,0,23494,4096,16777216,4096,512,5,1,5,1,4,0,0,53248,1024,73645,2,32768,262144,4096,1048576,4096,0,16
E:/sampel/shylock/pid.2396.0x1000000.dmp,332,3,0,0,224,271,267,7,10,62976,18944,0,62190,4096,16777216,4096,512,5,1,5,1,4,0,0,90112,1024,123829,2,32768,262144,4096,1048576,4096,0,16
E:/sampel/shylock/pid.3372.0x400000.dmp,332,4,0,0,224,271,267,6,0,278528,184320,0,149036,4096,4194304,4096,4096,4,0,0,0,4,0,0,466944,4096,515769,3,0,1048576,4096,1048576,4096,0,16
E:/sampel/shylock/pid.3756.0x4ad00000.dmp,332,3,0,0,224,271,267,7,10,129024,259584,0,20550,4096,1255145472,4096,512,5,1,5,1,4,0,0,397312,1024,436699,3,32768,1048576,1048576,1048576,4096,0,16
E:/sampel/shylock/pid.424.0x400000.dmp,332,4,0,0,224,259,267,8,0,102400,61440,0,94333,4096,4194304,4096,4096,4,0,0,0,4,0,0,167936,4096,190368,3,0,1048576,4096,1048576,4096,0,16
E:/sampel/shylock/pid.612.0x4a680000.dmp,332,4,0,0,224,270,267,7,10,3072,2048,0,4515,4096,1248329728,4096,512,5,1,5,1,5,1,0,20480,1024,69162,1,0,262144,12288,1048576,4096,0,16
E:/sampel/shylock/pid.636.0x1000000.dmp,332,3,0,0,224,287,267,7,10,461312,57856,0,255457,4096,16777216,4096,512,5,1,21315,20512,4,0,0,528384,1024,550264,2,32768,262144,20480,1048576,4096,0,16
E:/sampel/shylock/pid.692.0x1000000.dmp,332,3,0,0,224,303,267,7,10,4608,7680,0,5309,4096,16777216,4096,512,5,1,5,1,4,0,0,24576,1024,65884,2,32768,262144,24576,1048576,4096,0,16
E:/sampel/shylock/pid.868.0x1000000.dmp,332,3,0,0,224,271,267,7,10,11264,2560,0,9481,4096,16777216,4096,512,5,1,5,1,4,0,0,24576,1024,21408,2,33792,262144,16384,1048576,4096,0,16
E:/sampel/shylock/pid.944.0x1000000.dmp,332,3,0,0,224,271,267,7,10,11264,2560,0,9481,4096,16777216,4096,512,5,1,5,1,4,0,0,24576,1024,21408,2,33792,262144,16384,1048576,4096,0,16
